Rank,SelectionMethod,SourceRowIndex,RecruitPostName,BusinessLine,LocationName,LastUpdateTime,PostURL,ManualMatchReason,PotentialGap,Responsibility,Requirement
1,执行日2026-06-09；百度社招产品岗全量抓取+近3个月过滤+排除5年以上+豆包Top50初筛后人工复核,109,AI产品经理（智能体方向）（J98909）,ACG,北京市,2026-03-27,https://talent.baidu.com/jobs/detail/SOCIAL/8265dd49-dcd2-4ac9-a8d3-1e2b8645b578,这是百度里和你现有履历最同构的一档岗位：Agent 产品规划、任务编排、工具调用、上下文管理、评估体系和跨团队推进，你在集团 AI 中台、云端智能体平台和多场景 Agent 落地里都已经做过，几乎可以一一映射。,需要补更强的互联网产品叙事，以及对通用 Agent/AI 编程工具类用户场景的竞品认知。,"-负责AI Agent产品的规划与迭代，定义Agent的能力边界、任务编排逻辑、工具调用策略和上下文管理机制，输出PRD并推动研发落地
-深入研究用户在应用开发、任务自动化、工作提效等场景下的核心需求，通过竞品分析、用户访谈、数据埋点等方式持续迭代产品体验
-参与Agent的评估体系建设，建立任务成功率、响应质量、用户满意度等多维度的效果评估框架，驱动产品效果的可量化优化
-与算法、研发团队紧密协作，共同定义效果优化策略、优化模型调用策略等方案，推动产品效果的持续提升
-跟踪行业前沿动态，识别新技术带来的产品机会，快速验证并输出方案","-3年以上互联网产品经理经验，其中至少1年AI产品相关经验；有AI编程工具、智能体类产品经验者优先
-对LLM技术有较深理解，熟悉Agent架构设计（如ReAct、Plan-and-Execute、Multi-Agent等模式），能与研发进行技术方案探讨
-具备强烈的用户同理心和场景拆解能力，能将模糊的用户需求抽象为清晰的Agent任务流和交互设计
-具备较强的自驱力和跨团队推动力，能在快节奏的中主导产品方向并推动产品需求落地，跟进结果
加分项
-有实际上线Agent产品的完整经验，能展示从0到1的产品思考和迭代路径
-有Vibe Coding、通用智能体类产品经验优先"
2,执行日2026-06-09；百度社招产品岗全量抓取+近3个月过滤+排除5年以上+豆包Top50初筛后人工复核,10,DuMate产品经理（J100378）,ACG,北京市,2026-06-01,https://talent.baidu.com/jobs/detail/SOCIAL/dab60caf-fe97-4b19-b513-c1a2c4143d48,这个岗位强调智能体搭建平台、工具/技能生态和平台型产品思维，和你做过的 AI 统一接入层、云端智能体工作台、模型路由与多场景复用很接近，既能讲平台治理，也能讲 Agent 产品从0到1落地。,需要补开放平台、开发者生态和偏 C 端助手产品的增长逻辑表达。,"-产品规划与生态建设：主导DuMate产品规划，构建工具、技能、专家套件的完整生态体系，深入挖掘用户场景与需求，设计产品功能架构并推动落地迭代
-市场洞察与用户研究：跟踪AI助手、智能体平台领域动态，分析竞品策略与行业趋势，建立用户反馈机制，通过定性定量研究洞察痛点与机会
-跨团队协同与项目推进：协调技术、设计、运营等多方资源保障产品高效交付，支持销售与市场团队推动智能体与工具的推广落地
-数据驱动与效果优化：定义并跟踪产品核心指标，建立数据监控与分析体系，基于业务数据持续提升产品性能与用户体验","-本科及以上学历，计算机、软件工程、人工智能相关专业优先；3年以上产品经验，有智能体搭建平台、开放平台、垂类Agent建设经验者优先
-熟悉AI助手类产品，了解主流大模型能力边界与应用场景，关注前沿AI工具与技术创新；具备优秀的需求分析、产品设计与项目推动能力
-熟练使用Axure、Figma等产品设计工具，产品文档功底扎实；了解云计算服务（IaaS/PaaS）及其商业模式，具备平台型产品思维
-加分项：有开发者平台、开放生态建设经验；有AI工具、智能体产品从0到1经验；具备技术背景或编程能力"
3,执行日2026-06-09；百度社招产品岗全量抓取+近3个月过滤+排除5年以上+豆包Top50初筛后人工复核,7,DuMate效果评测产品经理（J100354）,ACG,北京市,2026-06-03,https://talent.baidu.com/jobs/detail/SOCIAL/ed67a452-d65b-4be1-9b5c-3bb1ab3cb5a2,你的优势不只是做功能，更在于把 Agent 效果做成闭环。岗位里的长程任务评测、skill 建设、效果量化和问题整改，能直接对应你在合同审核、运维智能体、商机评分里做过的评估指标、人工复核和持续优化路径。,需要补更系统的 Agent 长程任务评测方法论，以及 OpenClaw 类框架的案例表达。,"- 负责搭建执行类Agent评测体系，制定长程任务评测标准、测试用例及流程，牵头完成策略效果的量化评估与迭代优化，输出评测报告并推动问题整改
- 深入理解Agent长程任务的核心痛点，结合业务场景，设计合理的策略解决方案，优化任务完成率、记忆连贯性及成本控制等关键指标
- 负责核心内置skill的建设，包括但不限于office三件套、生图生视频、浏览器自动化等，设计skill的功能逻辑、调用策略及迭代方案，联动相关团队完成内置skill的开发、上线与效果复盘，丰富产品核心能力
- 联动算法、工程、测试等跨部门团队，清晰传递策略需求与业务目标，协同推进策略落地，解决研发过程中的技术与体验难题，确保项目按时交付
- 跟踪Agent技术前沿动态（如OpenClaw、Hermes Agent等相关框架）及行业竞品策略，挖掘差异化优势，输出策略优化建议与产品规划方案，支撑产品的核心竞争力构建","- 本科及以上学历，计算机、人工智能、软件工程、数据科学等相关专业优先，3年及以上策略或评测产品经理工作经验，有AI、Agent、大模型相关产品评测经验者优先
- 具备扎实的策略产品思维，熟悉策略设计、落地及优化全流程，能独立完成策略方案撰写、需求拆解及效果复盘，具备数据驱动的策略优化能力
- 优先考虑有Openclaw类Agent长程任务评测经验者，熟悉Openclaw等Agent框架的核心特性，了解长程任务评测的核心维度及方法，能独立搭建评测体系
- 具备优秀的逻辑思维、问题分析及跨团队协作能力，能快速响应业务需求，抗压性强，有较强的自驱力和创新意识"
4,执行日2026-06-09；百度社招产品岗全量抓取+近3个月过滤+排除5年以上+豆包Top50初筛后人工复核,141,客服质培平台产品经理（J98408）,PSIG,北京市,2026-03-16,https://talent.baidu.com/jobs/detail/SOCIAL/1c181244-44a6-4e45-b8c5-36286f2d3c30,虽然场景是客服质培，但岗位方法论和你非常接近：零代码平台、大模型、skills、规则设计、数据看板、闭环优化，本质上都是把 AI 能力嵌进复杂流程并形成可执行、可评估、可迭代的平台产品。,需要补客服质检/培训领域的业务语言，把你现有流程提效案例翻译成客服质培闭环。,"-基于零代码平台、大语言模型、openclaw、skills等AI工具  设计并搭建客服部门质考培一体化平台，覆盖质量检查、考核评估、培训管理全流程
-结合业务制定客服服务质量评估标准（如响应时效、解决率、服务态度等）目标，转化为平台可执行的质检规则，设计自动化考核流程，通过无代码工具实现任务分发、评分汇总、结果通知等环节的闭环管理
-构建客服数据看板（如服务效率、质量趋势、培训参与度等），通过无代码工具实现数据可视化，定期输出分析报告，识别服务短板、人员能力差距及流程优化点，联动业务部门制定改进方案，跟踪措施落地效果，持续优化服务指标
-主导产品需求文档撰写、原型设计和交互流程设计，协同研发团队进行产品开发迭代","-本科及以上学历，2-5年互联网产品经理工作经验，有客服、培训或SaaS平台产品经验者优先
-熟练掌握产品设计工具（Axure、Sketch、Figma等），熟练掌握具大语言模型、openclaw、skills等AI工具，备优秀的需求分析和原型设计能力
-具备较强的数据敏感性和分析能力，能够通过数据驱动产品优化和业务决策
-优秀的沟通协调能力和团队合作精神，能够有效推动跨部门协作与项目落地
-逻辑清晰，具备良好的文档撰写能力和结构化思维能力，抗压能力强"
5,执行日2026-06-09；百度社招产品岗全量抓取+近3个月过滤+排除5年以上+豆包Top50初筛后人工复核,25,AI全栈产品经理（J100130）,PSIG,北京市,2026-05-21,https://talent.baidu.com/jobs/detail/SOCIAL/e8e1904a-f6a7-4053-b630-c91f7e1d5269,这个岗位非常吃 AI 产品工程能力、Vibe Coding 和端到端落地，你的 Python、TypeScript、LangGraph、MCP/Skill、用 Claude Code/Codex 快速搭 MVP 的经历会很有说服力，属于能把简历技术面直接转成产品竞争力的岗位。,岗位偏文库/网盘个人智能方向，需要补 ToC 用户体验、增长指标和个人效率场景语言。,"-用户研究：扎进用户真实使用场景，识别""AI 应用蓝海""机会，用一手用户研究为团队决策提供依据，验证 PMF
-方案洞察：围绕文库和网盘，把前沿模型能力（多模、Agent、skill等）翻译成普通用户会用的功能，对用户体验结果负责
-Vibe Coding ：用 Cursor / Claude Code 自己搭原型、跑实验，把想法快速变成可演示的Demo
-端到端落地：从用户调研、 原型、PRD、用户体验评测、灰度发布到归因分析，每一步自己走完
-数据分析：建立北极星指标、漏斗与渠道分析体系，识别结构性增量并量化每一次产品决策
-团队共创：与算法、工程、设计、增长紧密协作，做团队的“催化剂”而非“传话筒”","-产品热爱：把做产品本身当作热爱的事，坚信AI，对“必须做出来”有不可抑制的冲动，能在不确定中前行，有创业精神优先
-全栈视野：2年以上独立AI产品经验，对 AI 有持续输入思考，有全栈产品视野，擅长端到端落地，能讲清楚 Claude / GPT / Gemini / 国内主流模型各自的适用场景，简历里能看到自己亲手做成的事
- Vibe Coding：熟练使用 Cursor / Claude Code /  Lovable 等工具，写得出可运行的原型，不依赖工程也能验证一个想法
-用户体验：对用户体验交互细节敏锐，能从一个微小卡点反推出整条流程的设计问题
-极大加分项：有开发或脚本能力，能自己跑 prompt 实验、搭原型，熟悉 MCP、Agent、Skills、RAG、Function Calling 等 AI 工程架构，极大加分
-不必满足上面每一条，如果你相信“AI + 应用”的价值，并觉得自己能创造独特贡献，也辛苦请您把简历发给我们"
6,执行日2026-06-09；百度社招产品岗全量抓取+近3个月过滤+排除5年以上+豆包Top50初筛后人工复核,26,伐谋-OPC创新产品经理（J97230）,ACG,北京市,2026-05-20,https://talent.baidu.com/jobs/detail/SOCIAL/5bde3fde-54d6-4901-9929-3a736edc1299,岗位要的不是传统 PRD 型 PM，而是能用 vibe coding 快速做 Demo、验证高价值场景的人。你现在做 AI 产品的方式就是先拆业务、再做 MVP、再闭环迭代，这一点和它的创新项目推进模式非常合拍。,需要补 OPC 或快消/零售/制造等行业案例，证明你不仅能做技术验证，也能做行业化产品抽象。,"-负责产品前沿探索项目，完成基于特定领域的产品专项，跑通「vibe coding + 产品验证 -> 合并进入主线产品」全流程
-面向快销、零售、制造、地图等行业领域，基于伐谋自我演化Agent探索高价值业务场景
-通过 vibe coding + 快速实验 的方式，高效完成 Demo / MVP构建，验证技术方案的业务可行性与价值空间
-带领专项研发团队，完成包括产品设计、评估体系、工程实现的路径，并推动进入产品主线","-对vibe coding有积极实践，完成过扎实的OPC项目实践，有明确的用户指标或商业化收入
-拥有AGI理想，积极拥抱使用最新的AI能力解决高难高价值长程任务，能够从复杂业务中提炼核心问题
-具备较强的自驱力与探索精神，具备处理高度不确定性创新问题的能力
-有非共识的观点，有创新创业、风险投资、商业咨询等经验者优先"
7,执行日2026-06-09；百度社招产品岗全量抓取+近3个月过滤+排除5年以上+豆包Top50初筛后人工复核,85,商家Ai agent产品经理（J99223）,MEG,北京市,2026-04-10,https://talent.baidu.com/jobs/detail/SOCIAL/67a90a79-47ef-4c18-9191-90bd608f4048,从 Agent 架构、Skillset、RAG、API 理解到 0-1 梳理模糊需求，这个岗位和你的技术栈与方法论都对得上。尤其“数字员工”交互和自动化工作流部分，很适合拿你现在的企业智能体、商机平台和运维场景去迁移表达。,需要补跨境电商、达人合作、商家经营链路等行业知识，避免被业务背景卡住。,"-Agent架构设计：基于 Agent 框架逻辑（如 Open Claw/Claude Code），设计具备“自主决策”能力的电商经营工作流。定义 Agent 的 Skillset，使其能处理商家关键经营环节的日常任务
-达人建联中枢：设计并实现一套自动化的达人/KOL 建联系统。通过 AI 模拟真实的商务沟通逻辑，实现从寻找匹配达人、撰写差异化邀约、商务谈判到合同管理的闭环，显著降低人工沟通成本
-“数字员工”交互建模：摒弃传统复杂的 SaaS 后台，定义“指令中心”式的 UI/UX 逻辑。让商家以“管理者”而非“操作员”的身份与 AI 协作，审核 Agent 产出的决策建议与文档
-技术与业务协同：与研发和运营团队紧密配合，参与 LLM 调优、RAG 知识库构建以及 API 接口的逻辑定义，确保 Agent 在处理复杂跨境规则时的准确性与稳定性","-技术背景：计算机科学或相关专业本科及以上学历，具备优秀的逻辑思维。能够阅读 API 文档，理解 Agent 的 Planning、Memory 和 Tool Use 等核心原理
-Agent 经验：对主流 Agent 框架或AI 编程工具有研究或实际项目经验
-电商洞察：熟悉跨境电商（如TikTok）的经营全链路。对商家在内容本土化、流量获取和达人合作上的痛点有深刻理解
-产品sense：具备 AI-Native 的产品设计思维，不拘泥于传统 Web 表单，能设计简洁、直观的交互模式
-自驱力：能够从 0 到 1 梳理模糊的业务需求，并快速迭代 MVP"
8,执行日2026-06-09；百度社招产品岗全量抓取+近3个月过滤+排除5年以上+豆包Top50初筛后人工复核,71,Agent产品经理（电商方向）（J99416）,MEG,北京市,2026-04-17,https://talent.baidu.com/jobs/detail/SOCIAL/bfc48fb5-5eee-46b7-a03f-5e8529b49277,它考察的是复杂业务如何抽象成 Agent 工作流，以及如何搭建评估与优化机制，这正好对应你已经做过的工作流编排、工具调用、效果监控和方法论沉淀。即使不是同一行业，产品方法和技术抽象层是相通的。,需要补电商策略和经营场景理解，把你的 Agent 经验提前翻译成电商工作流语言。,"-负责电商核心场景的Agent规划与落地，制定AI Agent应用策略和具体实施方案，支撑Agent解决复杂业务问题
-从0-1实操Agent构建全流程，包括但不限于场景拆解、Agent架构设计（工具调用、上下文管理）、工作流编排等
-监控Agent运行数据与服务效果，构建评估指标体系，持续诊断问题并协同算法团队进行特定任务的效果优化
-沉淀Agent产品设计的优化方法论，探索多智能体等前沿架构，不断提升电商业务在AI全链路上的效率和落地效果","-有AI产品和电商策略产品经验优先，有前沿Agent实操经验优先
-对大语言模型（LLM）的基础原理有认知，熟悉常见的Agent架构模式，能够将复杂业务场景抽象为Agent的工作流
-对前沿技术保持敏锐，学习能力强，善于思考，有韧性，具备优秀的跨团队协同与项目推进能力"
9,执行日2026-06-09；百度社招产品岗全量抓取+近3个月过滤+排除5年以上+豆包Top50初筛后人工复核,122,ToB互动数字人产品经理（J98821）,MEG,北京市,2026-03-25,https://talent.baidu.com/jobs/detail/SOCIAL/dda9bb3c-3033-4cc9-b37d-1958adbde962,这是前十里更偏 ToB 应用落地的一岗，强调企业场景、多模态交互、Agent 效果达标和体验评估。你在 ToB AI 产品推进、场景挖掘、效果复盘上的经验可以直接承接，只是需要把案例翻译成数字人/多模态语境。,需要补数字人、多模态表现和语音/视觉交互相关认知，避免只停留在通用 Agent 经验层面。,"-参与实时互动数字人 ToB 产品的规划与落地，协助完成产品功能定义、需求细化及迭代推进
-参与数字人多模态表现策略的产品设计，包括数字人视觉效果优化、表情动作与文本内容的匹配度提升，持续改善数字人交互体验
-参与对话策略与 Agent 效果的产品优化，针对各种企业应用场景，协助确保对话 Agent 在具体业务场景下的效果达标
-协助客户需求调研与产品体验优化，深入理解 ToB 客户业务场景，参与建立产品体验评估机制，推动产品持续迭代","-本科及以上学历，2-4 年 ToB 产品经验，有数字人、AI Agent、其他LLM产品应用经验者优先
-具备 AI 产品专业能力，熟悉多模态交互、对话系统等 AI 技术原理，能够将技术能力转化为可落地的产品方案
-具备较好的跨团队协作能力，能够有效协同研发、算法、设计等团队，推动项目高质量交付
-对大模型新技术和应用敏感，关注行业动态，有较强的学习能力和自驱力"
10,执行日2026-06-09；百度社招产品岗全量抓取+近3个月过滤+排除5年以上+豆包Top50初筛后人工复核,63,DuMate评测产品经理（J99493）,ACG,北京市,2026-04-21,https://talent.baidu.com/jobs/detail/SOCIAL/466efbe1-62e0-4ac7-b808-e232acb9adfc,这个岗位聚焦桌面端 Agent 评测体系、评测指标和评测闭环，和你现在做 AI 产品时强调“效果评估-问题分析-持续优化”的方法非常一致。相比一些偏行业背景的岗位，它更吃 Agent 理解、评测抽象和落地推动，这些都是你的强项。,需要补更明确的 Agent 评测集设计、评测指标和可复现流程表达，避免只讲功能产品、不讲评测方法。,"-负责桌面端Agent应用的评测体系构建，包括评测指标、评测流程、数据集建设等建设，以及前沿评测方法的研究和设计
-负责评测方案设计，提升评测方案的全面性、真实性，确保评测流程高效、结果可复现
-协同算法工程团队，通过评测推进 Agent 策略优化形成闭环（评测->分析->优化->验证）
-跟踪业界 Agent 交互体验与能力基准对比，输出竞品评测分析报告，为产品规划、功能迭代及体验优化提供决策依据","-本科及以上学历，熟悉大模型、Agent 的基本原理
-有 Agent 评测集设计经验，有良好的沟通能力和团队协作能力
-具备良好的抽象能力，能够将 Agent 能力转化为可评测的任务与指标
-良好的沟通与项目推进能力，能够高效协同工程团队落地方案
-有 Agent 评测或产品设计相关的经验为加分项"
